func,omega,algorithm,s8-start,s8-final,a1-start,a1-final,a2-start,a2-final,MD,MAD,RMSD,time,errors?
wb97m,300,LN_BOBYQA,0.0,0.77933067830964486,0.0,0.73602584936176552,2.0,2.7915671362916354,0.0194,0.1250,0.1851,4,False
wb97m,300,LN_BOBYQA,0.0,0.77933020449157309,0.0,0.73602603150524393,3.625,2.7915658111871329,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77933111194227578,0.0,0.73602725442646222,5.25,2.7915608229223245,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932966385112901,0.0,0.73602462463421647,6.875,2.7915720504230763,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932745391941405,0.0,0.73602399963190335,8.5,2.7915729209456912,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,0.0,0.77933244664364620,0.2,0.73602980222459913,2.0,2.7915498853966163,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77933043929718415,0.2,0.73602791635374110,3.625,2.7915569903962982,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932754812910043,0.2,0.73602633540085260,5.25,2.7915618082013007,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932913183260655,0.2,0.73602596147577071,6.875,2.7915651236051997,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,0.0,0.77932648413129235,0.2,0.73601996305868755,8.5,2.7915913490439657,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,0.0,0.77932851447192641,0.4,0.73603051693016164,2.0,2.7915426714208960,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77933033312065603,0.4,0.73602550352483431,3.625,2.7915684701265913,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77933064799973306,0.4,0.73602692777830503,5.25,2.7915619341759101,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932766277629528,0.4,0.73602386049052648,6.875,2.7915737803905092,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,0.0,0.77932883331017044,0.4,0.73602609834876120,8.5,2.7915641694680873,0.0194,0.1250,0.1851,4,False
wb97m,300,LN_BOBYQA,0.0,0.77933166550024036,0.6,0.73602983735084526,2.0,2.7915489550345951,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932771903006648,0.6,0.73602413917862841,3.625,2.7915724877720325,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932672315378004,0.6,0.73601979764352166,5.25,2.7915923726246370,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932920934399164,0.6,0.73602632457003514,6.875,2.7915634518382726,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,0.0,0.77932900325241727,0.6,0.73602601266535095,8.5,2.7915647458665780,0.0194,0.1250,0.1851,4,False
wb97m,300,LN_BOBYQA,0.0,0.77933003821954749,0.8,0.73602579539838264,2.0,2.7915667827382458,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77933064617029024,0.8,0.73602472683272424,3.625,2.7915724987834198,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,0.0,0.77933007542322152,0.8,0.73602325175671923,5.25,2.7915790247436143,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,0.0,0.77932925095503414,0.8,0.73602600176573596,6.875,2.7915650371836231,0.0194,0.1250,0.1851,4,False
wb97m,300,LN_BOBYQA,0.0,0.77932928172933014,0.8,0.73602598439471112,8.5,2.7915651473203367,0.0194,0.1250,0.1851,5,False
wb97m,300,LN_BOBYQA,1.75,-0.38714705989720583,0.0,0.17461341695578100,2.0,1.6855977364629657,-0.3315,1.2755,2.0863,4,False
wb97m,300,LN_BOBYQA,1.75,0.77933079305399378,0.0,0.73602549990532951,3.625,2.7915689338714222,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,1.75,0.77933058939262223,0.0,0.73602795492316286,5.25,2.7915569684130563,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77933020884369164,0.0,0.73602617640525381,6.875,2.7915651199423430,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932926989772267,0.0,0.73602706597077283,8.5,2.7915599418197705,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77933122988356685,0.2,0.73603155457440128,2.0,2.7915403069955071,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,1.75,0.77933089307324555,0.2,0.73602831112857747,3.625,2.7915555341717999,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932927282818232,0.2,0.73602589200580970,5.25,2.7915655818570468,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932797833001066,0.2,0.73602517302595394,6.875,2.7915677906788590,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932839764856843,0.2,0.73602618759014915,8.5,2.7915633244086684,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,1.75,0.77933125957277638,0.4,0.73602585246254060,2.0,2.7915676816537496,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932850745161164,0.4,0.73602550603604622,3.625,2.7915666965723873,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932927281631592,0.4,0.73602613892686852,5.25,2.7915644037760923,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932895981103634,0.4,0.73602591031873854,6.875,2.7915652019987460,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,1.75,0.77932678813874201,0.4,0.73602150631365482,8.5,2.7915842350449824,0.0194,0.1250,0.1851,4,False
wb97m,300,LN_BOBYQA,1.75,0.77933619667048326,0.6,0.73603160096768783,2.0,2.7915448689245879,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77933100749380912,0.6,0.73602662653048190,3.625,2.7915637300814451,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932637202803667,0.6,0.73602064811635115,5.25,2.7915879547546618,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932807155752248,0.6,0.73602377920879625,6.875,2.7915745553372737,0.0194,0.1250,0.1851,4,False
wb97m,300,LN_BOBYQA,1.75,0.77932889642659220,0.6,0.73602605488533990,8.5,2.7915644498718324,0.0194,0.1250,0.1851,5,False
wb97m,300,LN_BOBYQA,1.75,0.77932880692213435,0.8,0.73602540540521222,2.0,2.7915674718192598,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932988163068928,0.8,0.73602677407602368,3.625,2.7915619403614254,0.0194,0.1250,0.1851,2,False
wb97m,300,LN_BOBYQA,1.75,0.77932981797257284,0.8,0.73602395754158578,5.25,2.7915753762860991,0.0194,0.1250,0.1851,3,False
wb97m,300,LN_BOBYQA,1.75,0.77932772404392614,0.8,0.73602298485041007,6.875,2.7915780334991580,0.0194,0.1250,0.1851,5,False
wb97m,300,LN_BOBYQA,1.75,0.77932921196401417,0.8,0.73602591782717541,8.5,2.7915654031463051,0.0194,0.1250,0.1851,4,False
wb97m,300,LN_BOBYQA,3.5,-0.38714728026225526,0.0,0.17461487675982770,2.0,1.6855917176437123,-0.3315,1.2755,2.0863,4,False
wb97m,300,LN_BOBYQA,3.5,0.77932923627439910,0.0,0.73602486124429545,3.625,2.7915705018733679,0.0194,0.1250,0.1851,3,False
