s8-start,a1-start,a2-start,s8-final,a1-final,a2-final
1.75,0.6,2.0,0.818293,0.7595718,2.7137488
3.5,0.4,2.0,0.7662885,0.6617401,3.1366252
0.0,0.8,3.625,0.7239713,0.6768727,3.0235311
5.25,0.4,2.0,0.9442758,0.6824095,3.1930354
1.75,0.8,2.0,0.9510927,0.8643476,2.3229728
1.75,0.4,2.0,0.6479576,0.6391264,3.1287596
0.0,0.6,2.0,0.6480161,0.7297496,2.6943719
0.0,0.4,2.0,0.6170618,0.6322393,3.1294377
0.0,0.8,2.0,0.6806565,0.8253398,2.2696159
3.5,0.6,2.0,1.1111145,0.7874768,2.8153358
1.75,0.6,3.625,1.0143662,0.6096098,3.6009832
0.0,0.6,3.625,0.6215352,0.5667607,3.4484159
1.75,0.4,3.625,0.8338601,0.497599,3.9908575
7.0,0.4,2.0,1.1308628,0.6991344,3.256003
0.0,0.2,2.0,0.5892371,0.5405435,3.5391744
1.75,0.2,2.0,0.5866641,0.5370275,3.5528352
7.0,0.2,2.0,0.5850408,0.5376861,3.5483321
5.25,0.2,2.0,0.5851415,0.5376945,3.5482471
3.5,0.2,2.0,0.5843345,0.5370168,3.550693
0.0,0.6,5.25,0.7715701,0.4241825,4.2879873
0.0,0.4,3.625,0.5797301,0.4657422,3.8877982
0.0,0.8,5.25,1.0788742,0.5472266,3.952822
1.75,0.0,2.0,0.5488465,0.4527156,3.9165516
1.75,0.2,3.625,0.6808967,0.3877575,4.3733506
3.5,0.0,2.0,0.5457536,0.4495173,3.9231729
7.0,0.0,2.0,0.53276,0.4455675,3.9305853
5.25,0.0,2.0,0.5317027,0.4438331,3.9354959
1.75,0.8,3.625,1.3132942,0.7293996,3.2349196
0.0,0.2,3.625,0.5531829,0.3704321,4.3152497
3.5,0.2,3.625,0.9776764,0.4177084,4.5018797
3.5,0.8,2.0,1.317571,0.894293,2.4424517
0.0,0.4,5.25,0.5919997,0.3081352,4.660244
5.25,0.0,3.625,0.7248646,0.2926141,4.8789035
3.5,0.4,3.625,1.2136923,0.5282235,4.1428502
