func,omega,algorithm,s8-start,s8-final,a1-start,a1-final,a2-start,a2-final,MD,MAD,RMSD,time,errors?
wb97m,300,LN_BOBYQA,0.0,1.1040375023773190E-002,0.0,0.98901453948947526,2.0,1.9779781955649323,-0.598340,0.613565,0.957009,2,False
wb97m,300,LN_BOBYQA,0.0,-2.8489037472877719E-004,0.0,-1.1163382388677135E-002,3.625,7.2076232544925567,-0.783555,0.794506,1.188746,2,False
wb97m,300,LN_BOBYQA,0.0,2.0416901855346229E-002,0.0,1.1231418042762880E-002,5.25,5.2603250319648769,-0.174967,0.266010,0.394510,1,False
wb97m,300,LN_BOBYQA,0.0,0.77932784084050888,0.0,0.73604141071854745,6.875,2.7914962852116174,0.019392,0.124972,0.185120,14,False
wb97m,300,LN_BOBYQA,0.0,0.77936059203701180,0.0,0.73602287956054679,8.5,2.7916044605885624,0.019395,0.124971,0.185120,18,False
wb97m,300,LN_BOBYQA,0.0,0.77928596673138495,0.2,0.73590556750519331,2.0,2.7921038255378638,0.019383,0.124973,0.185120,10,False
wb97m,300,LN_BOBYQA,0.0,0.77955750791955458,0.2,0.73619153912922997,3.625,2.7909816463532477,0.019413,0.124970,0.185120,17,False
wb97m,300,LN_BOBYQA,0.0,0.77931882270845465,0.2,0.73603204786823451,5.25,2.7915275888270696,0.019387,0.124972,0.185120,12,False
wb97m,300,LN_BOBYQA,0.0,0.78350910549535535,0.2,0.73562416600650782,6.875,2.7972634859403369,0.019616,0.124920,0.185123,10,False
wb97m,300,LN_BOBYQA,0.0,0.77931068455064723,0.2,0.73602048652595453,8.5,2.7915778985235074,0.019394,0.124972,0.185120,20,False
wb97m,300,LN_BOBYQA,0.0,0.77950865300058980,0.4,0.73588450304969077,2.0,2.7923994981969438,0.019398,0.124971,0.185120,8,False
wb97m,300,LN_BOBYQA,0.0,0.77936927668604949,0.4,0.73590058739946418,3.625,2.7922065529064546,0.019385,0.124972,0.185120,10,False
wb97m,300,LN_BOBYQA,0.0,0.77976348562091924,0.4,0.73837806012590368,5.25,2.7806324791082462,0.019566,0.124980,0.185121,12,False
wb97m,300,LN_BOBYQA,0.0,0.77935545658179672,0.4,0.73602563604110693,6.875,2.7915860125728811,0.019399,0.124973,0.185120,16,False
wb97m,300,LN_BOBYQA,0.0,0.77933095092152216,0.4,0.73615611570864692,8.5,2.7909506016698620,0.019387,0.124973,0.185120,18,False
wb97m,300,LN_BOBYQA,0.0,0.77926725759462667,0.6,0.73610504553246614,2.0,2.7911280519417714,0.019396,0.124974,0.185120,9,False
wb97m,300,LN_BOBYQA,0.0,0.77929778213463530,0.6,0.73592530166727566,3.625,2.7920189642436779,0.019385,0.124973,0.185120,7,False
wb97m,300,LN_BOBYQA,0.0,0.77919599174558851,0.6,0.73568773807835952,5.25,2.7930376878227667,0.019383,0.124979,0.185120,10,False
wb97m,300,LN_BOBYQA,0.0,0.77933825548852420,0.6,0.73602872098999406,6.875,2.7915562028362539,0.019393,0.124973,0.185120,16,False
wb97m,300,LN_BOBYQA,0.0,1.6177354997442328E-002,0.6,-0.59187930522560583,8.5,8.1718257403279786,-0.254569,0.305607,0.460712,2,False
wb97m,300,LN_BOBYQA,0.0,0.77932802586203320,0.8,0.73604867274650310,2.0,2.7914547856827645,0.019393,0.124973,0.185120,10,False
wb97m,300,LN_BOBYQA,0.0,0.77932571541493934,0.8,0.73603917016303189,3.625,2.7914907017694723,0.019397,0.124974,0.185120,8,False
wb97m,300,LN_BOBYQA,0.0,7.0278877072414023E-002,0.8,5.9959515293690993E-002,5.25,5.1970127844844196,-0.166263,0.238635,0.353546,2,False
wb97m,300,LN_BOBYQA,0.0,0.78060195891922846,0.8,0.73877307620423360,6.875,2.7794966139222419,0.019644,0.124969,0.185122,9,False
wb97m,300,LN_BOBYQA,0.0,7.5471870968203666E-002,0.8,0.79012673189939198,8.5,1.0079334966474094,0.036853,0.443082,0.622998,2,False
wb97m,300,LN_BOBYQA,1.75,1.7492729648742258,0.0,1.0023936048278608,2.0,2.0008967789751511,0.205485,0.238689,0.314231,2,False
wb97m,300,LN_BOBYQA,1.75,1.7693206562916011,0.0,-1.1010902217534316E-002,3.625,7.2101777056493486,-0.080720,0.227182,0.352780,2,False
wb97m,300,LN_BOBYQA,1.75,2.1975913312756473E-002,0.0,-3.6298073522700010E-004,5.25,5.2484405823821856,-0.161544,0.270790,0.399248,2,False
