func,omega,algorithm,s8-start,s8-final,a1-start,a1-final,a2-start,a2-final,MD,MAD,RMSD,time,errors?
wb97m,300,LD_LBFGS,0.0,0.81605339652217701,0.0,0.83967936988199077,2.0,2.3269079337173944,0.027406,0.126651,0.186885,12,False
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.0,0.0000000000000000,3.625,3.6250000000000000,-0.232406,0.911978,1.427000,8,True
wb97m,300,LD_LBFGS,0.0,0.78851020491126866,0.0,0.75216893041503818,5.25,2.7225077444003989,0.020757,0.124909,0.185162,15,False
wb97m,300,LD_LBFGS,0.0,0.78041529389032149,0.0,0.74501512560091132,6.875,2.7495953620070064,0.019851,0.124963,0.185135,28,False
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.0,0.0000000000000000,8.5,8.5000000000000000,-1.173269,1.180841,1.764182,8,True
wb97m,300,LD_LBFGS,0.0,0.79006813952814148,0.2,0.75243471494749614,2.0,2.7224161590590947,0.020995,0.124929,0.185164,13,False
wb97m,300,LD_LBFGS,0.0,0.78882318819532871,0.2,0.75258795912535725,3.625,2.7207774770355342,0.020800,0.124908,0.185164,14,False
wb97m,300,LD_LBFGS,0.0,0.78744796355627977,0.2,0.75138455558864503,5.25,2.7251034725941730,0.020784,0.124957,0.185158,17,False
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.2,0.20000000000000001,6.875,6.8750000000000000,-0.998082,1.007342,1.515388,8,True
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.2,0.20000000000000001,8.5,8.5000000000000000,-1.361797,1.368032,2.029913,8,True
wb97m,300,LD_LBFGS,0.0,0.78831177570392874,0.4,0.74941188801311120,2.0,2.7355368550252934,0.020604,0.124895,0.185150,13,False
wb97m,300,LD_LBFGS,0.0,0.78906833358516981,0.4,0.75055549748139139,3.625,2.7307677986956111,0.020688,0.124886,0.185155,20,False
wb97m,300,LD_LBFGS,0.0,0.79934927361615893,0.4,0.75250802204597866,5.25,2.7307389327251879,0.021291,0.124748,0.185187,15,False
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.4,0.40000000000000002,6.875,6.8750000000000000,-1.237723,1.245047,1.861959,8,True
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.4,0.40000000000000002,8.5,8.5000000000000000,-1.489299,1.494505,2.200741,8,True
wb97m,300,LD_LBFGS,0.0,0.80023027066357355,0.6,0.75931599215196610,2.0,2.6987483051620376,0.021793,0.124811,0.185221,11,False
wb97m,300,LD_LBFGS,0.0,0.78732280895644979,0.6,0.75107160827525665,3.625,2.7269696211929104,0.020464,0.124868,0.185156,13,False
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.6,0.59999999999999998,5.25,5.2500000000000000,-1.076530,1.085345,1.638806,8,True
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.6,0.59999999999999998,6.875,6.8750000000000000,-1.404760,1.410749,2.091359,8,True
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.6,0.59999999999999998,8.5,8.5000000000000000,-1.573898,1.578352,2.308960,8,True
wb97m,300,LD_LBFGS,0.0,0.78838524341951166,0.8,0.75209260090836971,2.0,2.7228900342240587,0.020666,0.124886,0.185161,11,False
wb97m,300,LD_LBFGS,0.0,0.77993141729977522,0.8,0.74884770249576205,3.625,2.7310041683655166,0.019894,0.124951,0.185151,16,False
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.8,0.80000000000000004,5.25,5.2500000000000000,-1.292231,1.299280,1.942503,8,True
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.8,0.80000000000000004,6.875,6.8750000000000000,-1.516920,1.521949,2.238211,8,True
wb97m,300,LD_LBFGS,0.0,0.0000000000000000,0.8,0.80000000000000004,8.5,8.5000000000000000,-1.629981,1.633773,2.377777,7,True
wb97m,300,LD_LBFGS,1.75,0.78916526637137274,0.0,0.74947636873418400,2.0,2.7357890013611357,0.020783,0.124922,0.185151,19,False
